title,price,industry,location,Source,url,description,revenue,cash_flow
Sample Business 1,"$4,220,896",Healthcare,"FL, USA",LoopNet,https://example.com/business-1,Sample description for business 1 in Construction industry.,"$9,312,241","$455,643"
Sample Business 2,"$845,024",Retail,"CA, USA",BizQuest,https://example.com/business-2,Sample description for business 2 in Retail industry.,"$2,725,026","$704,822"
Sample Business 3,"$3,248,126",Manufacturing,"WA, USA",BizQuest,https://example.com/business-3,Sample description for business 3 in Healthcare industry.,"$8,762,654","$252,476"
Sample Business 4,"$2,998,062",Technology,"IL, USA",LoopNet,https://example.com/business-4,Sample description for business 4 in Manufacturing industry.,"$8,284,540","$363,143"
Sample Business 5,"$141,568",Manufacturing,"TX, USA",BizQuest,https://example.com/business-5,Sample description for business 5 in Construction industry.,"$6,944,879","$744,230"
Sample Business 6,"$3,175,143",Manufacturing,"NY, USA",BizBuySell,https://example.com/business-6,Sample description for business 6 in Restaurant industry.,"$9,554,540","$798,261"
Sample Business 7,"$3,999,160",Manufacturing,"TX, USA",BizBuySell,https://example.com/business-7,Sample description for business 7 in Retail industry.,"$6,711,720","$931,383"
Sample Business 8,"$4,785,395",Manufacturing,"CA, USA",BizBuySell,https://example.com/business-8,Sample description for business 8 in Retail industry.,"$2,793,724","$384,458"
Sample Business 9,"$2,076,272",Healthcare,"FL, USA",BizBuySell,https://example.com/business-9,Sample description for business 9 in Construction industry.,"$7,143,026","$264,139"
Sample Business 10,"$1,098,127",Restaurant,"CA, USA",LoopNet,https://example.com/business-10,Sample description for business 10 in Retail industry.,"$1,002,656","$902,267"
Sample Business 11,"$2,684,432",Healthcare,"CA, USA",BizQuest,https://example.com/business-11,Sample description for business 11 in Construction industry.,"$4,525,906","$642,009"
Sample Business 12,"$3,424,624",Manufacturing,"WA, USA",LoopNet,https://example.com/business-12,Sample description for business 12 in Manufacturing industry.,"$2,811,445","$519,592"
Sample Business 13,"$3,386,737",Technology,"CA, USA",BizBuySell,https://example.com/business-13,Sample description for business 13 in Restaurant industry.,"$7,996,236","$83,271"
Sample Business 14,"$4,921,534",Retail,"IL, USA",BizBuySell,https://example.com/business-14,Sample description for business 14 in Retail industry.,"$9,468,405","$166,994"
Sample Business 15,"$3,859,832",Retail,"IL, USA",BizBuySell,https://example.com/business-15,Sample description for business 15 in Retail industry.,"$1,461,067","$291,051"
